16,94;20,43;20,43;20,43;20,43;33,67;46,90;60,14;73,37;79,99;86,61;93,23;99,84;113,08;126,31;127,80;129,27;130,74;132,22;133,68;135,15;146,17;157,20;168,23;179,26;180,01;180,75;181,49;182,61;183,34;184,09;184,83;206,33;207,07;207,82;208,92;209,66;234,87;235,61;236,72;237,47;238,21;239,32;240,06;240,81;241,54;242,66;243,40;244,14;245,25;246,00
20,43;20,43;20,43;20,43;20,43;33,67;46,90;60,14;73,37;79,99;86,61;93,23;99,84;113,08;126,31;127,80;129,27;130,74;132,22;133,68;135,15;146,17;157,20;168,23;179,26;180,01;180,75;181,49;182,61;183,34;184,09;184,83;206,33;207,07;207,82;208,92;209,66;234,87;235,61;236,72;237,47;238,21;239,32;240,06;240,81;241,54;242,66;243,40;244,14;245,25;246,00
20,43;20,43;20,43;20,43;20,43;33,67;46,90;60,14;73,37;79,99;86,61;93,23;99,84;113,08;126,31;127,80;129,27;130,74;132,22;133,68;135,15;146,17;157,20;168,23;179,26;180,01;180,75;181,49;182,61;183,34;184,09;184,83;206,33;207,07;207,82;208,92;209,66;234,87;235,61;236,72;237,47;238,21;239,32;240,06;240,81;241,54;242,66;243,40;244,14;245,25;246,00
20,43;20,43;20,43;20,43;20,43;33,67;46,90;60,14;73,37;79,99;86,61;93,23;99,84;113,08;126,31;127,80;129,27;130,74;132,22;133,68;135,15;146,17;157,20;168,23;179,26;180,01;180,75;181,49;182,61;183,34;184,09;184,83;206,33;207,07;207,82;208,92;209,66;234,87;235,61;236,72;237,47;238,21;239,32;240,06;240,81;241,54;242,66;243,40;244,14;245,25;246,00
20,43;20,43;20,43;20,43;20,43;33,67;46,90;60,14;73,37;79,99;86,61;93,23;99,84;113,08;126,31;127,80;129,27;130,74;132,22;133,68;135,15;146,17;157,20;168,23;179,26;180,01;180,75;181,49;182,61;183,34;184,09;184,83;206,33;207,07;207,82;208,92;209,66;234,87;235,61;236,72;237,47;238,21;239,32;240,06;240,81;241,54;242,66;243,40;244,14;245,25;246,00
33,67;33,67;33,67;33,67;33,67;46,90;60,14;73,37;86,61;93,23;99,84;106,46;113,08;126,31;139,56;141,03;142,50;143,98;145,45;146,92;148,38;159,41;170,44;181,46;192,50;193,24;193,99;194,72;195,84;196,58;197,32;198,06;219,57;220,31;221,05;222,16;222,90;248,10;248,85;249,96;250,70;251,44;252,56;253,30;254,04;254,78;255,90;256,63;257,38;258,49;259,23
46,90;46,90;46,90;46,90;46,90;60,14;73,37;86,61;99,84;106,46;113,08;119,70;126,31;139,56;152,79;154,27;155,74;157,21;158,69;160,15;161,62;172,64;183,67;194,70;205,73;206,48;207,22;207,96;209,08;209,81;210,56;211,30;232,80;233,54;234,29;235,39;236,13;261,35;262,09;263,19;263,94;264,68;265,79;266,53;267,28;268,01;269,13;269,87;270,61;271,72;272,48
60,14;60,14;60,14;60,14;60,14;73,37;86,61;99,84;113,08;119,70;126,31;132,94;139,56;152,79;166,03;167,50;168,97;170,45;171,92;173,39;174,85;185,88;196,91;207,93;218,97;219,71;220,46;221,19;222,31;223,05;223,79;224,53;246,04;246,78;247,52;248,63;249,37;274,58;275,32;276,43;277,17;277,91;279,03;279,77;280,51;281,25;282,37;283,10;283,85;284,96;285,71
73,37;73,37;73,37;73,37;73,37;86,61;99,84;113,08;126,31;132,94;139,56;146,17;152,79;166,03;179,26;180,74;182,21;183,68;185,16;186,62;188,09;199,11;210,14;221,17;232,20;232,95;233,69;234,43;235,55;236,28;237,03;237,77;259,27;260,01;260,76;261,86;262,61;287,82;288,56;289,66;290,41;291,15;292,26;293,00;293,75;294,48;295,60;296,34;297,08;298,19;298,95
79,99;79,99;79,99;79,99;79,99;93,23;106,46;119,70;132,94;139,56;146,17;152,79;159,41;172,64;185,88;187,35;188,82;190,30;191,77;193,23;194,70;205,73;216,76;227,79;238,82;239,57;240,31;241,05;242,16;242,91;243,64;244,39;265,89;266,63;267,37;268,48;269,22;294,43;295,18;296,29;297,02;297,77;298,88;299,62;300,36;301,10;302,21;302,96;303,70;304,80;305,56
